srcLang,tgtLang,srcString,tgtString,gloss,note
FR,EN,Bienvenue,Bee Evan Knew,Welcome,
FR,EN,C'est une plaisir,Set Tune Plays Ear,It's a pleasure,
FR,EN,Il s'appelle,Eel Sop Pell,His name is,
FR,EN,Merci beaucoup,Mare See Bow Coo,Thank you very much,
FR,EN,S'il vous plaît,See Voo Play,If it pleases you,
FR,EN,N'est-ce pas,Ness Pa,Right,
FR,EN,Bon ami,Bun a Me,Good friend,
FR,EN,C'est populaire,Say Pope Poo Lair,It's popular,
FR,EN,C'est une bonne idée,Set Tune Bunny Day,That's a good idea,
FR,EN,Côtelettes d'agneau,Coat Tell Let Don Yo,Lamb chops,
JA,EN,こんにちわ,Cone Knee Chee Wah,Hello,
JA,EN,さよなら,Sigh Oh Notta,Goodbye,
JA,EN,お早う,Ohio,Good morning,
JA,EN,お大事に,Oh Die Jeanie,To your health,
JA,EN,おめでとう,Oh May Day Toe,Congratulations,
JA,EN,どんな天気ですか,Don Not Ten Key Desk ah,What's the weather like,
JA,EN,服,Who Coo,Clothing,
JA,EN,失望,Sheet Sue Bow,Disappointment,
JA,EN,男,Oh Taco,Man,
JA,EN,楽しむ,Ton Know She Moo,To have fun,
ZH,EN,不客气,Book Itchy,You're welcome,
ZH,EN,你好吗,Knee How Ma,How are you,
ZH,EN,我很好,Woe Hen How,I'm very good,
ZH,EN,不太好,Boo Tie How,Not very good,
ZH,EN,我不知道,Woe Boots Dow,I don't know,
ZH,EN,没问题吗,May Win Tee Ma,Is that ok,
ZH,EN,啤酒,Pea Joe,Beer,
ZH,EN,薄烤饼,Bow Cow Bing,Pancake,
ZH,EN,菠菜,Boat Sigh,Spinach,
ZH,EN,炸薯条,Jaw Shoe Tee Ow,French fries,
