"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"DE","unterließ","unterließ:unterließ","/ʊn.tə.ʀliːs/","enter fleece","/ˈɛn.təɹ/ /flis/","unter Schließ","/ʊn.tɐ/ /ʃliːs/","une tenace","/yn/ /tə.ˈnas/","運 手 胃 胃","/uɴ/ /te/ /i/ /i/","運 抵 離 司","/yn˥˩/ /ti˨˩˦/ /li˧˥/ /s˥˥/","failed to make","enter fleece","under close","a tenacious","Lucky hands stomach stomach","Lucky arriving arm's Secretary"
"DE","mit Fingerabdrücken versehen","mit:mit Fingerabdrücken: versehen:versehen","/miːt/  /fɛɐ.zeː.ən/","meet seven","/mit/ /ˈsɛ.vən/","Mietze sehen","/miːt.t͡sə/ /zeː.ən/","mite versement","/mit/ /vɛʁ.ˈsəm/","水 乳 会 ぜ 塩","/mi/ /t͡ɕi/ /e/ /ze/ /eɴ/","米 之 非 灋 恩","/mi˨˩˦/ /tʂ˥˥/ /fei˥˥/ /fa˨˩˦/ /ən˥˥/","with fingerprints","meet seven","See pussy","mite payment","Is salt water milk Association.","Grace m non-FA"
"DE","Tiefkühlkost","Tiefkühlkost:Tiefkühlkost","/tiːf.kyːl.kɔst/","tinkle cost","/ˈtɪŋ.kəl/ /kɔst/","tief Kehlkopf","/tiːf/ /keːl.kɔpf/","ticket poste","/ti.ˈkɛ/ /pɔst/","手 拳 戸 手","/te/ /keɴ/ /ko/ /te/","提 供 褲 匙","/ti˧˥/ /kuŋ˥˥/ /ku˥˩/ /tʂ˧˥/","Frozen food","tinkle cost","deep throat","ticket post","Fist detached hands","Trousers provided key"
"DE","Auskunftsschalter","Auskunftsschalter:Auskunftsschalter","/aʊ.skʊnft.sʃal.tɐ/","outcast shelter","/ˈaʊt.ˌkæst/ /ˈʃɛl.təɹ/","Auskunft Schalter","/aʊ.skʊnft/ /ʃal.tɐ/","asphalte chanter","/a.ˈsfalt/ /ʃa.ˈte/","彼 セント さん 手","/a/ /sen.to/ /saɴ/ /te/","奧 斯 堪 之 四 安 徒","/au˥˩/ /s˥˥/ /kan˥˥/ /tʂ˥˥/ /s˥˩/ /an˥˥/ /tu˧˥/","Information desk","outcast shelter","Information desk","asphalt sing","He be a Saint I hand","Hotels Scandinavia quater"
"DE","graphische Datenverarbeitung","graphische:graphische Datenverarbeitung:Datenverarbeitung","/ɡʀaːp.hiː.ʃə/ /daː.tən.fə.ʀaɐ.baɪ.tʊŋ/","gardening","/ˈɡɑɹd.nɪŋ/","Grabstein","/ɡʀaːp.ʃtaɪn/","guitare","/ɡi.ˈtaʁ/","が 氷 死 ダー テント 矢 万 痰","/ɡa/ /hi/ /ʃi/ /daː/ /ten.to/ /ja/ /baɴ/ /taɴ/","跨 系 需 沙 灘 夫 奶 塞 同","/kua˥˩/ /ɕi˥˩/ /ɕy˥˥/ /ʂa˥˥/ /tan˥˥/ /fu˥˥/ /nai˨˩˦/ /sai˥˥/ /tuŋ˧˥/","graphic data processing","gardening","Grave stone","Guitar","Ice death Dah tent arrow 10,000 phlegm","Across a sandy beach you want milk"
"DE","Ausführungsbestimmungen","Ausführungsbestimmungen:Ausführungsbestimmungen","/aʊ.sfyː.ʀʊnks.bə.ʃtɪ.mʊŋ.ɡən/","Einstein","/ˈaɪn.staɪn/","Ausdruck stimmen","/aʊ.sdʀʊk/ /ʃtɪ.mən/","asbeste","/as.ˈbɛst/","彼 サー 夜 木 ビー 死 問 群","/a/ /saː/ /jo/ /ki/ /biː/ /ʃi/ /moɴ/ /ɡuɴ/","奧 斯 雨 雲 寺 博 士 提 名 人","/au˥˩/ /s˥˥/ /y˨˩˦/ /yn˧˥/ /s˥˩/ /po˧˥/ /ʂ˥˩/ /ti˧˥/ /miŋ˧˥/ /ʐən˧˥/","Implementing provisions","Einstein","Consent expression","asbestos","He Sir night tree bee death problems group","Dr Leo rain a surname Temple nominee"
"DE","Andenken","Andenken:Andenken","/an.dɛŋ.kən/","i drunken","/aɪ/ /ˈdɹʌŋ.kən/","an denken","/aːn/ /dɛŋ.kən/","Ardennes canne","/aʁ.ˈdɛn/ /kan/","案 弾 券","/aɴ/ /daɴ/ /keɴ/","按 黨 啃","/an˥˩/ /taŋ˨˩˦/ /kən˨˩˦/","Memory","i drunken","to think","Ardennes cane","Draft edition tickets","By Dang eating"
"DE","vertrautes","vertrautes:vertrautes","/fɛɐ.tʀaʊ.teːs/","fortress","/ˈfɔɹ.tɹɪs/","vertraut","/fɛɐ.tʀaʊt/","fin tracteur","/fɛ/ /tʁak.ˈtœʁ/","サー 田 手","/saː/ /ta/ /te/","夫 到 子","/fu˥˥/ /tau˥˩/ /ts˨˩˦/","familiar","fortress","familiar","end tractor","Sir rice hand","To a child"
"DE","Alpträume","Alpträume:Alpträume","/alp.tʀə.uː.mə/","ultra duma","/ˈʌl.tɹə/ /ˈdu.mə/","Alptraum Amme","/alp.tʀaʊm/ /a.mə/","Alpes tramer","/alp/ /tʁa.ˈme/","彼 ぺ 手 兎 水","/a/ /pe/ /te/ /u/ /mi/","阿 比 去 五 畂","/a˥˥/ /pi˨˩˦/ /tɕy˥˩/ /u˨˩˦/ /mu˨˩˦/","Nightmares","ultra duma","Nightmare nurse","Alps plot","His pettanko hand rabbit water","Abby went to five JIU"
"DE","Stafettenlauf","Stafettenlauf:Stafettenlauf","/ʃtaː.fɛ.tə.nlaʊf/","shitload","/ˈʃɪt.ˌloʊd/","Strafe Anlauf","/ʃtʀaː.fə/ /a.nlaʊf/","statut tenace","/sta.ˈty/ /tə.ˈnas/","舎 乳 手 にゃ 胃","/ʃa/ /t͡ɕi/ /te/ /nja/ /i/","他 夫 蒂 拉 夫","/ta˥˥/ /fu˥˥/ /ti˥˩/ /la˥˥/ /fu˥˥/","Relay race","shitload","Penalty stop","tenacious status","Hall milk to cats stomach","He married dilafu"
