"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"DE","zu verteitigend","zu:zu verteitigend:","/t͡suː/ ","zoo","/zu/","Zug","/t͡suːk/","cou","/ku/","唾","/t͡su/","土","/tu˨˩˦/","to verteitigend","zoo","Train","neck","Saliva","Soil"
"DE","kommunikative","kommunikative:kommunikative","/kɔ.muː.niː.kaː.tiː.fə/","communication","/kə.ˌmyu.nɪ.ˈkeɪ.ʃən/","kommen Katze","/kɔ.mən/ /kaːt.t͡sə/","communication","/kɔ.my.ni.ka.ˈsjo/","戸 六 ニ カー 手 酢","/ko/ /mu/ /ni/ /kaː/ /te/ /su/","鼓 拇 蜺 卡 梯 拊","/ku˨˩˦/ /mu˨˩˦/ /ni˧˥/ /ka˨˩˦/ /ti˥˥/ /fu˨˩˦/","communicative","communication","get cat","communication","Detached 6 (d) car hand vinegar","Drum thumb cicada ladder fondle"
"DE","Radiumheilverfahren","Radiumheilverfahren:Radiumheilverfahren","/ʀaː.diː.uːm.haɪl.fɐ.faː.ʀən/","Mediterranean","/ˌmɛ.dɪ.tə.ˈɹeɪ.ni.ən/","Reinheit fahren","/ʀaɪn.haɪt/ /faː.ʀən/","animal domestique","/a.ni.mal.do.mɛ.ˈstik/","矢 ビー 運 歯 胃 乳 サー 兎 ニ","/ja/ /biː/ /uɴ/ /ha/ /i/ /t͡ɕi/ /saː/ /u/ /ni/","蠟 梯 鵡 鯊 梨 拊 筏 人","/la˥˩/ /ti˥˥/ /u˨˩˦/ /ʂa˥˥/ /li˧˥/ /fu˨˩˦/ /fa˧˥/ /ʐən˧˥/","Radiumheilverfahren","Mediterranean","Driving purity","domestic animal","Arrow b lucky tooth stomach breasts Sir rabbit (d)","鵡 shark 蠟 stairs PEAR fondle raft people"
"DE","Riffelung","Riffelung:Riffelung","/ʀiːf.fə.lʊŋ/","suffering","/ˈsʌ.fə.ɹɪŋ/","rief Füllung","/ʀiːf/ /fʏ.lʊŋ/","ciseler","/si.zə.ˈle/","ジン サー 順","/d͡ʑiɴ/ /saː/ /d͡ʑuɴ/","林 拊 龍","/lin˧˥/ /fu˨˩˦/ /luŋ˧˥/","Ribbing","suffering","called fill","carving","Jin Sir order","Lin Fu龍"
"DE","Zweifamilienhaus","Zweifamilienhaus:Zweifamilienhaus","/t͡svaɪ.faː.miː.liːn.haʊs/","vitamin teahouse","/ˈvaɪ.tə.mɪn/ /ˈti.ˌhaʊs/","zweifach Wohnhaus","/t͡svaɪ.faːx/ /voːn.haʊs/","versement initial","/vɛʁ.sə.mi.ni.ˈsjal/","唾 彼 サー 水 ジン 歯 サー","/t͡su/ /a/ /saː/ /mi/ /d͡ʑiɴ/ /ha/ /saː/","司 壒 筏 米 林 哈 司","/s˥˥/ /ai˥˩/ /fa˧˥/ /mi˨˩˦/ /lin˧˥/ /xa˥˥/ /s˥˥/","Two-family house","vitamin teahouse","Double House","initial payment","Saliva he Sir water Gin teeth Sir","Si 壒 raft Millin Division"
"DE","unternehmerfeindlich","unternehmerfeindlich:unternehmerfeindlich","/ʊn.tə.ʀneː.mɐ.faɪn.dlɪç/","intermediate","/ˌɪn.təɹ.ˈmi.di.ɪt/","untreu feindlich","/ʊn.tʀɔɪ/ /faɪn.dlɪç/","intermédiaire","/ɛ.tɛʁ.me.ˈdjɛʁ/","運 手 音 水 差 ニ 弾","/uɴ/ /te/ /ne/ /mi/ /sa/ /ni/ /daɴ/","雲 土 蜺 媽 樊 陵","/yn˧˥/ /tu˨˩˦/ /ni˧˥/ /ma˥˥/ /fan˧˥/ /liŋ˧˥/","hostile to entrepreneurs","intermediate","unfaithful hostile","intermediate","Lucky hands sound water difference (d) bullets","A surname cicada mother Fan Ling"
"DE","Wirbelwind","Wirbelwind:Wirbelwind","/vɪɐ.bəl.vɪnt/","verbal lint","/ˈvɜɹ.bəl/ /lɪnt/","Wirbel Wind","/vɪɐ.bəl/ /vɪnt/","virgule vigne","/viʁ.ˈɡyl/ /vinj/","女 便 ビー 手","/d͡ʑo/ /beɴ/ /biː/ /te/","司 漁 盆 司 蜺","/s˥˥/ /y˧˥/ /pən˧˥/ /s˥˥/ /ni˧˥/","Whirlwind","verbal lint","Whirl wind","comma vine","Her flight b hand","Secretary Division of fisherman's bastion cicada"
"DE","Aufzählung","Aufzählung:Aufzählung","/aʊf.t͡sə.lʊŋ/","counseling","/ˈkaʊn.sə.lɪŋ/","auf Zählung","/aʊf/ /t͡seː.lʊŋ/","affolement","/a.fɔ.ˈləm/","彼 胃 唾 問","/a/ /i/ /t͡su/ /moɴ/","嗄 蝮 梯 龍","/a˧˥/ /fu˥˩/ /ti˥˥/ /luŋ˧˥/","Enumeration","counseling","on counting","panic","His stomach saliva problems","The velvety huskiness deinagkistrodon ladder South Dragon"
"DE","seine Kleider reinigen lassen","seine:seine Kleider:Kleider reinigen:reinigen lassen:lassen","/zaɪ.nə/ /klaɪ.dɐ/ /ʀaɪ.niː.ɡən/ /la.sən/","simultaneous","/ˌsaɪ.məl.ˈteɪ.ni.əs/","schneidern","/ʃnaɪ.dɐn/","de l'Allemagne occidentale","/də.la.lə.ma.njok.si.da.ˈtal/","座 ニ 蚊 土 矢 ニ 群 矢 線","/za/ /ni/ /ka/ /do/ /ja/ /ni/ /ɡuɴ/ /ja/ /seɴ/","奶 蜺 鎧 茹 腮 蜺 森 蠟 森","/nai˨˩˦/ /ni˧˥/ /kai˨˩˦/ /ʐu˧˥/ /sai˥˥/ /ni˧˥/ /sən˥˥/ /la˥˩/ /sən˥˥/","his clothes clean can","simultaneous","clothcraft","of the Western Germany","Seat (d) mosquitoes sat arrow (d) Group arrow line","Milk cicada 鎧 mushroom gills cicada sum 蠟 sum"
"DE","Ortszulage","Ortszulage:Ortszulage","/ɔɐt.st͡suː.laː.ɡə/","aught saliva","/ɔt/ /sə.ˈlaɪ.və/","Ortszeit Lage","/ɔɐt.st͡saɪt/ /laː.ɡə/","orgue soulager","/ɔʁɡ/ /su.la.ˈʒe/","兎 手 酢 矢 が","/u/ /te/ /su/ /ja/ /ɡa/","鵡 匙 司 鵡 蠟 鼓","/u˨˩˦/ /tʂ˧˥/ /s˥˥/ /u˨˩˦/ /la˥˩/ /ku˨˩˦/","Location allowance","aught saliva","Local time location","organ relieve","Rabbit hand vinegar arrows","鵡 key Division 鵡 蠟 drum"
