"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"EN","biomechanics","biomechanics:biomechanics","/ˌbaɪ.oʊ.mɪ.ˈkæ.nɪks/","bio sickness","/ˈbaɪ.oʊ/ /ˈsɪk.nɪs/","Biochemie Knicks","/biː.oː.xə.miː/ /knɪks/","bandeau mécanicien","/ba.ˈdo/ /me.ka.ni.ˈsi/","万 おん 水 木 ニ サー","/baɴ/ /oɴ/ /mi/ /ki/ /ni/ /saː/","百 謳 拇 褲 蜺 司","/pai˨˩˦/ /ou˥˥/ /mu˨˩˦/ /ku˥˩/ /ni˧˥/ /s˥˥/","biomechanics","bio sickness","Biochemistry Knicks","mechanic headband","Million-on Mizuki (d) Sir","Pak 謳 thumb Trousers cicada Division"
"EN","signora","signora:signora","/sɪn.ˈy.ɔ.ɹə/","sin Nora","/sɪn/ /ˈnɔ.ɹə/","Sinn Sonne","/zɪn/ /zɔ.nə/","signe oignon","/sinj/ /ɔ.ˈnjo/","さん 絵 彼 妻","/saɴ/ /e/ /a/ /me/","傘 浴 鵡 夫","/san˨˩˦/ /y˥˩/ /u˨˩˦/ /fu˥˥/","signora","sin Nora","Meaning Sun","sign onion","And I picture his wife","鵡 Umbrella bath"
"EN","custody","custody:custody","/ˈkʌ.stə.di/","cuss study","/kʌs/ /ˈstʌ.di/","kostete","/kɔ.ʃtə.tə/","quotidien","/ko.ti.ˈdi/","子 差 田 血","/ko/ /sa/ /ta/ /t͡ɕi/","刻 司 滴 題","/kɤ˥˩/ /s˥˥/ /ti˥˥/ /ti˧˥/","custody","cuss study","cost","daily","Child difference field, blood","Secretary drop problems"
"EN","intelligent","intelligent:intelligent","/ɪn.ˈtɛ.lɪd.ʒənt/","intent regent","/ɪn.ˈtɛnt/ /ˈɹid.ʒənt/","intelligent","/ɪn.tɛ.liː.ɡɛnt/","intelligence","/ɛ.tɛ.li.ˈʒas/","韻 手 ベッド 手","/iɴ/ /te/ /bed.do/ /te/","雲 弟 林 人 子","/yn˧˥/ /ti˥˩/ /lin˧˥/ /ʐən˧˥/ /ts˨˩˦/","intelligent","intent regent","Intelligent","intelligence","Rhyme hand beds","A surname Lam son of man"
"EN","rectify","rectify:rectify","/ˈɹɛk.tə.ˌfaɪ/","rectum fie","/ˈɹɛk.təm/ /faɪ/","leckte bei","/lɛk.tə/ /baɪ/","rectifier","/ʁɛk.ti.ˈfje/","矢 木 手 差","/ja/ /ki/ /te/ /sa/","耜 褲 德 筏","/s˥˩/ /ku˥˩/ /tɤ˧˥/ /fa˧˥/","rectify","rectum fie","licked at","correct","Arrow wood hand difference","SI Trousers de raft"
"EN","phylactery","phylactery:phylactery","/fɪ.ˈlæk.tə.ɹi/","Flattery","/ˈflæ.tɹi/","flüchtete","/flyːç.tə.tə/","philosophie","/fi.lo.zo.ˈfi/","サー 矢 手 ニ","/saː/ /ja/ /te/ /ni/","拊 浪 燈 妮","/fu˨˩˦/ /laŋ˥˩/ /təŋ˥˥/ /ni˥˥/","phylactery","Flattery","fled","philosophy","Sir arrow hand (d)","Fondle 燈 Nicole"
"EN","academician","academician:academician","/ˌæ.kə.də.ˈmɪ.ʃən/","action mission","/ˈæk.ʃən/ /ˈmɪ.ʃən/","akademischen","/aː.kaː.də.miː.ʃən/","académicien","/a.ka.de.mi.ˈsi/","彼 子 土 水 信","/a/ /ko/ /do/ /mi/ /ʃiɴ/","漁 鼓 土 蜜 森","/y˧˥/ /ku˨˩˦/ /tu˨˩˦/ /mi˥˩/ /sən˥˥/","academician","action mission","academic","Academician","His child soil water Shin","Fisherman's bastion drum honey sum"
"EN","cacomistle","cacomistle:cacomistle","/ˈkæ.kə.ˌmɪ.səl/","cackle missile","/ˈkæ.kəl/ /ˈmɪ.səl/","Kacke mittel","/ka.kə/ /mɪ.təl/","Cachemire sale","/ka.ʃə.ˈmiʁ/ /sal/","蚊 蚊 目 線","/ka/ /ka/ /me/ /seɴ/","刻 鴿 蜜 森","/kɤ˥˩/ /kɤ˥˥/ /mi˥˩/ /sən˥˥/","cacomistle","cackle missile","K medium","Cashmere sale","Mosquitoes mosquito looking","鴿 honey sum"
"EN","osteoclast","osteoclast:osteoclast","/ˈɒ.sti.ə.ˌklæst/","Oscar clasp","/ˈɒ.skəɹ/ /klæsp/","Idealist","/iː.də.a.lɪst/","hostile Alost","/o.ˈstil/ /a.ˈlɔst/","兎 サー 胃 絵 木 酢","/u/ /saː/ /i/ /e/ /ki/ /su/","誤 司 弟 漁 鼓 司","/u˥˩/ /s˥˥/ /ti˥˩/ /y˧˥/ /ku˨˩˦/ /s˥˥/","osteoclast","Oscar clasp","Idealist","hostile Aalst","Rabbit Sir stomach painting bamboo vinegar","Fisherman's bastion, 誤 Secretary brother drum Division"
"EN","Armagnac","Armagnac:Armagnac","/ˌɑɹ.mən.ˈyæk/","Armand yak","/ˈɑɹ.mənd/ /yæk/","atmen Gag","/aːt.mən/ /ɡaːk/","arsenic","/aʁ.sə.ˈnik/","絵 ムーン 胃 戸","/e/ /muːɴ/ /i/ /ko/","兒 門 浴 鼓","/ər˧˥/ /mən˧˥/ /y˥˩/ /ku˨˩˦/","Armagnac","Armand yak","breathe gag","arsenic","Picture Moon stomach detached","My door bath drums"
