"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"FR","office religieux","office:office religieux:religieux","/o.ˈfis/ /ʁə.liʒ.ˈjø/","affiliate","/ə.ˈfɪ.li.ˌeɪt/","Evangelium","/eː.faŋ.ɡə.liː.uːm/","office relier","/o.ˈfis/ /ʁə.ˈlje/","を 窒素 人 矢","/o/ /t͡ɕis.so/ /d͡ʑiɴ/ /ja/","噢 父 司 狐 林 褥","/o˥˥/ /fu˥˩/ /s˥˥/ /xu˧˥/ /lin˧˥/ /ʐu˥˩/","religious Office","affiliate","Gospel","Office connect","N those arrows","Oh father, forest Division Fox mattress"
"FR","poulailler","poulailler:poulailler","/pu.la.ˈje/","policy","/ˈpɒ.lə.si/","Pullover","/pʊ.loː.fɐ/","plancher","/pla.ˈʃe/","ピザ 矢","/pi.za/ /ja/","蹼 蠟 曆","/pu˨˩˦/ /la˥˩/ /li˥˩/","Chicken Coop","policy","Sweater","floor","Pizza arrows","Webbed 蠟 曆"
"FR","enchanter","enchanter:enchanter","/a.ʃa.ˈte/","Aragon","/a.ɹa.ˈɡɔ/","Adapter","/aː.daːp.tɐ/","an chanter","/a/ /ʃa.ˈte/","彼 舎 手","/a/ /ʃa/ /te/","嗄 筏 弟","/a˧˥/ /fa˧˥/ /ti˥˩/","enchant","Aragon","Adapter","year sing","His hand Hall","Came sputtering along the rafts"
"FR","acacia","acacia:acacia","/a.ka.ˈsja/","acacia","/ə.ˈkeɪ.ʃə/","Acker ja","/a.kɐ/ /jaː/","acquit soie","/a.ˈki/ /swa/","彼 蚊 矢","/a/ /ka/ /ja/","嗄 卡 耜 嗄","/a˧˥/ /ka˨˩˦/ /s˥˩/ /a˧˥/","Acacia","acacia","Arable Yes","acquired silk","His mosquito arrows","The velvety huskiness card SI the velvety huskiness"
"FR","s'abstenir de","s'abstenir:s'abstenir de:de","/sab.stə.ˈniʁ/ /də/","substandard","/sʌb.ˈstæn.dəɹd/","Maskerade","/ma.skə.ʀaː.də/","substance jouir de","/syb.ˈstas/ /ʒwiʁ.ˈdə/","差 差 ニ 土","/sa/ /sa/ /ni/ /do/","灑 司 弟 逆 滴","/sa˨˩˦/ /s˥˥/ /ti˥˩/ /ni˥˩/ /ti˥˥/","refrain from","substandard","Masquerade","substance enjoy","Difference difference (d) soil","Sprinkled Division inverse droplet"
"FR","Andalou","Andalou:Andalou","/a.da.ˈlu/","Aragon","/a.ɹa.ˈɡɔ/","Adler","/a.dlɐ/","an jaloux","/a/ /ʒa.ˈlu/","彼 だ 弓","/a/ /da/ /ju/","嗄 獺 錄","/a˧˥/ /ta˨˩˦/ /lu˥˩/","Andalusian","Aragon","Eagle","jealous year","He bows","The velvety huskiness 獺-recorder"
"FR","résistance","résistance:résistance","/ʁe.zi.ˈstas/","resistance","/ɹɪ.ˈzɪ.stəns/","Resultat","/ʀeː.zʊl.taːt/","résine stade","/ʁe.ˈzin/ /stad/","夏 乳 さん","/ɡe/ /t͡ɕi/ /saɴ/","禾 膝 耜 獺 司","/xɤ˧˥/ /ɕi˥˥/ /s˥˩/ /ta˨˩˦/ /s˥˥/","resistance","resistance","Result","resin Stadium","Summer's breasts","Wo knee SI 獺 Division"
"FR","profiter","profiter:profiter","/pʁo.fi.ˈte/","profit","/ˈpɹɒ.fɪt/","Profile","/pʀoː.fiː.lə/","profit fer","/pʁo.ˈfi/ /fe/","点 手","/po.t͡ɕi/ /te/","菠 拊 弟","/po˥˥/ /fu˨˩˦/ /ti˥˩/","enjoy","profit","Profiles","advantage iron","Point","Keep fondle his brother"
"FR","s'arrêter à","s'arrêter:s'arrêter à:","/sa.ʁɛ.ˈte/ ","spaghetti","/spə.ˈɡɛ.ti/","Palette","/paː.lɛ.tə/","sorter","/sɔʁ.ˈte/","差 夏 手","/sa/ /ɡe/ /te/","灑 爺 弟","/sa˨˩˦/ /iɛ˧˥/ /ti˥˩/","stop at","spaghetti","Range","sorter","Difference between summer hands","Sprinkled Royal brother"
"FR","coccinelle","coccinelle:coccinelle","/kok.si.ˈnɛl/","cockney knell","/ˈkɒk.ni/ /nɛl/","kriminell","/kʀiː.miː.nɛl/","conque tonnelle","/kok/ /to.ˈnɛl/","根 乳 年","/koɴ/ /t͡ɕi/ /neɴ/","狗 司 椅 囡","/kou˨˩˦/ /s˥˥/ /i˨˩˦/ /nan˥˥/","Ladybug","cockney knell","Criminal","conch tonnelle","Cock milk year","Dog Si Yinan"
