"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"JA","エピグラフ","エピグラフ:エピグラフ","/e.pi.ɡu.ɾa.ɸu/","a p goo T shoe","/eɪ/ /pi/ /ɡu/ /ti/ /ʃu/","es Vieh Kuh da Schuh","/eːs/ /fiː/ /kuː/ /daː/ /ʃuː/","et pis goût tas chou","/e/ /pi/ /ɡu/ /ta/ /ʃu/","絵 Ｐ 具 ラ 府","/e/ /piː/ /ɡu/ /ɾa/ /ɸu/","誒 蹕 股 榻 艴","/ei˥˥/ /pi˥˩/ /ku˨˩˦/ /ta˥˩/ /fu˧˥/","Epigraph","a p goo T shoe","It cattle cow da shoe","and worse taste cabbage heap","Picture P furniture la Prefecture","EI 蹕 unit couch angrily"
"JA","マルティプルチョイス","マルティプルチョイス:マルティプルチョイス","/ma.ɾu.te.i.pu.ɾu.t͡ɕo.i.su/","ma shoe T e poo shoe shoe e xu","/mɑ/ /ʃu/ /ti/ /i/ /pu/ /ʃu/ /ʃu/ /i/ /su/","Mann Kuh Teer Kuh Kuh wo in Schuh","/man/ /kuː/ /teː.ɐ/ /kuː/ /kuː/ /voː/ /iːn/ /ʃuː/","ma cou thé on pou cou son on sous","/ma/ /ku/ /te/ /o/ /pu/ /ku/ /so/ /o/ /su/","ま ルー 手 胃 プール 著 イ 酢","/ma/ /ɾuː/ /te/ /i/ /puː.ɾu/ /t͡ɕo/ /i/ /su/","嗎 五 第 一 部 五 博 伊 蘇","/ma˨˩˦/ /u˨˩˦/ /ti˥˩/ /i˥˥/ /pu˥˩/ /u˨˩˦/ /po˧˥/ /i˥˥/ /su˥˥/","マルティプルチョイス","ma shoe T e poo shoe shoe e xu","Man tar cow Cow cow where in shoe","my the neck on pou neck sound it under","Well Lou hand stomach pool by (a) vinegar","Five first five Ma Bo Suai"
"JA","類似体","類似体:類似体","/ɾu.i.d͡ʑi.ta.i/","to e b T e","/tu/ /i/ /bi/ /ti/ /i/","Kuh in Vieh Tag in","/kuː/ /iːn/ /fiː/ /taːk/ /iːn/","tout iris tas hein","/tu/ /i.ˈʁi/ /ta/ /ɛ/","類 柱 田 胃","/ɾu.i/ /d͡ʑi/ /ta/ /i/","都 已 提 他 一","/tu˥˥/ /i˨˩˦/ /ti˧˥/ /ta˥˥/ /i˥˥/","Similar body","to e b T e","Cow in cattle tag in","all iris tas eh","In the columns field, stomach","Has already been put on his"
"JA","悲劇的","悲劇的:悲劇的","/hi.ɡe.ki.te.ki/","he goo key T key","/hi/ /ɡu/ /ki/ /ti/ /ki/","Hit Reh Kuh weh Kuh","/hiːt/ /ʀeː/ /kuː/ /veː/ /kuː/","riz gant quitter qui","/ʁi/ /ɡa/ /ki.ˈte/ /ki/","氷 夏 木 手 木","/hi/ /ɡe/ /ki/ /te/ /ki/","西 哥 窟 第 個","/ɕi˥˥/ /kɤ˥˥/ /ku˥˥/ /ti˥˩/ /kɤ˥˩/","A tragic","he goo key T key","Hit deer cow woe cow","Rice glove leave that","Ice summer wooden hand wood","West cave GE"
"JA","グランド・ツーリング・カー","グランド・ツーリング・カー:グランド・ツーリング・カー","/ɡu.ɾan.do.t͡suː.ɾiɴ.ɡu.kaː/","goo pan do shoe teen goo key","/ɡu/ /pæn/ /du/ /ʃu/ /tin/ /ɡu/ /ki/","gut Zahn Dom zu Tisch Kuh Kuh","/ɡuːt/ /t͡saːn/ /doːm/ /t͡suː/ /tiːʃ/ /kuː/ /kuː/","goût panne don chou tir goût camp","/ɡu/ /pan/ /do/ /ʃu/ /tiʁ/ /ɡu/ /ka/","具 ランド 唾 リン 具 カー","/ɡu/ /ɾan.do/ /t͡su/ /ɾiɴ/ /ɡu/ /kaː/","股 淡 薄 都 竝 入 卡","/ku˨˩˦/ /tan˥˩/ /po˧˥/ /tu˥˥/ /piŋ˥˩/ /ʐu˥˩/ /ka˨˩˦/","Grand Touring car","goo pan do shoe teen goo key","good tooth DOM table cow Cow","taste failure don cabbage shooting taste camp","Furniture land saliva Linn equipment car","Deployment shares weak into cards"
"JA","単一値属性","単一値属性:単一値属性","/taɴ.i.t͡su.t͡ɕi.zo.ku.se.i/","tie e shoe c zoo coo c e","/taɪ/ /i/ /ʃu/ /si/ /zu/ /ku/ /si/ /i/","Taxi zu Vieh so Kuh weh in","/taːx.iː/ /t͡suː/ /fiː/ /zoː/ /kuː/ /veː/ /iːn/","taille hibou ciseau cou c' et on","/taj/ /i.ˈbu/ /si.ˈzo/ /ku/ /s/ /e/ /o/","痰 胃 唾 乳 ぞ 区 背 胃","/taɴ/ /i/ /t͡su/ /t͡ɕi/ /zo/ /ku/ /se/ /i/","當 一 都 提 我 苦 澀 一","/taŋ˥˥/ /i˥˥/ /tu˥˥/ /ti˧˥/ /uo˨˩˦/ /ku˨˩˦/ /sɤ˥˩/ /i˥˥/","Single-valued attributes","tie e shoe c zoo coo c e","Taxi to cattle to cow woe in","size OWL chisel neck it and it","Is the-tall stomach phlegm stomach saliva milk","When I 澀"
"JA","メンバセット","メンバセット:メンバセット","/mem.ba.set.to/","mom b seat toe","/mɒm/ /bi/ /sit/ /toʊ/","Mehl badet Tod","/meːl/ /baː.deːt/ /toːt/","mer m' bas c' t' ton","/me/ /m/ /ba/ /s/ /t/ /to/","メンバ セット","/mem.ba/ /set.to/","每 八 四 製 度","/mei˨˩˦/ /pa˥˥/ /s˥˩/ /tʂ˥˩/ /tu˥˩/","MemberSet","mom b seat toe","Flour bathes death","Sea me down it you tone","Member set","Every 84 release"
"JA","破綻を来す","破綻を来す:破綻を来す","/ha.taɴ.o.ki.ta.su/","hi tie awe key T xu","/haɪ/ /taɪ/ /ɔ/ /ki/ /ti/ /su/","Hang Tang Ohr Kuh Tasse","/haŋ/ /taŋ/ /oːɐ/ /kuː/ /ta.sə/","chat taille on qui tas sous","/ʃa/ /taj/ /o/ /ki/ /ta/ /su/","歯 痰 を 木 田 酢","/ha/ /taɴ/ /o/ /ki/ /ta/ /su/","哈 黨 喔 古 塔 素","/xa˥˥/ /taŋ˨˩˦/ /o˥˥/ /ku˨˩˦/ /ta˨˩˦/ /su˥˩/","Causing a collapse","hi tie awe key T xu","Hang Tang cow ear cup","cat size on that pile under","Teeth phlegm tree rice vinegar.","Dang well effect of ancient towers"
"JA","下手な鉄砲も数撃ちゃ当たる","下手な鉄砲も数撃ちゃ当たる:下手な鉄砲も数撃ちゃ当たる","/he.ta.na.tep.po.u.mo.ka.zu.u.t͡ɕa.a.ta.ɾu/","he T knee tap paw ooh moo key zoo ooh awe i T shoe","/hi/ /ti/ /ni/ /tæp/ /pɔ/ /u/ /mu/ /ki/ /zu/ /u/ /ɔ/ /aɪ/ /ti/ /ʃu/","he Tag nah Typ wo Ufo Kuh Schuh Uhr da Ei tabu","/heː/ /taːk/ /naː/ /tyːp/ /voː/ /uː.foː/ /kuː/ /ʃuː/ /uːɐ/ /daː/ /aɪ/ /taː.buː/","fée tas nid type pot où mot camp joue où camp as tas cou","/fe/ /ta/ /ni/ /tip/ /po/ /u/ /mo/ /ka/ /ʒu/ /u/ /ka/ /a/ /ta/ /ku/","屁 田 七 手 戸 兎 喪 蚊 ず 兎 ちゃ 彼 たる","/he/ /ta/ /na/ /te/ /ko/ /u/ /mo/ /ka/ /zu/ /u/ /t͡ɕa/ /a/ /ta.ɾu/","和 她 那 次 播 五 万 卡 如 無 沙 阿 塔 素","/xɤ˧˥/ /ta˥˥/ /na˨˩˦/ /ts˥˩/ /po˥˥/ /u˨˩˦/ /mo˥˩/ /ka˨˩˦/ /ʐu˧˥/ /u˧˥/ /ʂa˥˥/ /a˥˥/ /ta˨˩˦/ /su˥˩/","Bad gun too few hits the poorest","he T knee tap paw ooh moo key zoo ooh awe i T shoe","Hey day close type where UFO cow shoe clock egg taboo","fairy heap nest type pot where Word camp plays where camp as heap neck","Fart field, seven hand detached rabbit mourning mosquitoes without Usagi-Chan he barrel","The broadcast with her 50,000 cards have no shaatasu"
"JA","配信保留","配信保留:配信保留","/ha.i.ʃiɴ.ho.ɾju.u/","hi e sheen HO drew ooh","/haɪ/ /i/ /ʃin/ /hoʊ/ /dɹu/ /u/","Hang in schien hob Kuh Schuh","/haŋ/ /iːn/ /ʃiːn/ /hoːp/ /kuː/ /ʃuː/","chat riz chien son c' où où","/ʃa/ /ʁi/ /ʃi/ /so/ /s/ /u/ /u/","歯 胃 信 穂 旅 兎","/ha/ /i/ /ʃiɴ/ /ho/ /ɾjo/ /u/","哈 伊 性 我 十 五 五","/xa˥˥/ /i˥˥/ /ɕiŋ˥˩/ /uo˨˩˦/ /ʂ˧˥/ /u˨˩˦/ /u˨˩˦/","Delivery pending","hi e sheen HO drew ooh","Slope in seemed cow raised shoe","cat dog rice its it where where","Teeth stomach Shin spike travel to rabbit","Gaay I Fifteen-Five"
