"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"ZH","夏威夷州","夏威夷州:夏威夷州","/ɕia˥˩.uei˥˥.i˧˥.tʂou˥˥/","c ooh e e toe","/si/ /u/ /i/ /i/ /toʊ/","Zier Uhr in Tor","/t͡siːɐ/ /uːɐ/ /iːn/ /toːɐ/","chien as où iris tronc où","/ʃi/ /a/ /u/ /i.ˈʁi/ /tʁo/ /u/","死 彼 兎 胃 胃 手 兎","/ʃi/ /a/ /u/ /i/ /i/ /te/ /u/","夏 威 夷 州","/ɕia˥˩/ /uei˥˥/ /i˧˥/ /tʂou˥˥/","Hawaii","c ooh e e toe","Ornamental clock in gate","dog as where iris trunk where","Death his rabbit gastric stomach hand rabbit","Hawaii"
"ZH","長白朝鮮族自治縣","長白朝鮮族自治縣:長白朝鮮族自治縣","/tʂaŋ˧˥.pai˧˥.tʂau˧˥.ɕiɛn˨˩˦.tsu˧˥.ts˥˩.tʂ˥˩.ɕiɛn˥˩/","tongue pi chow c n chew toss T c n","/tʌŋ/ /paɪ/ /tʃaʊ/ /si/ /ɛn/ /tʃu/ /tɔs/ /ti/ /si/ /ɛn/","Tang Mai Tau Vieh Ente Tisch Tisch Vieh n","/taŋ/ /maːiː/ /taʊ/ /fiː/ /ɛn.tə/ /tiːʃ/ /tiːʃ/ /fiː/ /n/","t' ange pan toit où chien aine trou tasse teint si aine","/t/ /aʒ/ /pa/ /twa/ /u/ /ʃi/ /ɛn/ /tʁu/ /tas/ /tɛ/ /si/ /ɛn/","痰 パ 胃 田 兎 乳 ニ 酢 手 手 乳 ニ","/taɴ/ /pa/ /i/ /ta/ /u/ /t͡ɕi/ /ni/ /su/ /te/ /te/ /t͡ɕi/ /ni/","長 白 朝 鮮 族 自 治 縣","/tʂaŋ˧˥/ /pai˧˥/ /tʂau˧˥/ /ɕiɛn˥˥/ /tsu˧˥/ /ts˥˩/ /tʂ˥˩/ /ɕiɛn˥˩/","Long white Xian ethnic autonomous county","tongue pi chow c n chew toss T c n","Tang Mai Tau cattle duck table cattle n","You Angel pan roof where dog elder hole Cup dyed if elder","Phlegm PA stomach field rabbit milk d vinegar hand hands breasts (d)","Long white Xian ethnic autonomous county"
"ZH","沈國放","沈國放:沈國放","/ʂən˨˩˦.kuo˧˥.faŋ˥˩/","an coo fang","/ən/ /ku/ /fæŋ/","Zahn Kur Fang","/t͡saːn/ /kuːɐ/ /faŋ/","chêne cou on femme","/ʃɛn/ /ku/ /o/ /fam/","線 区 を 酸","/seɴ/ /ku/ /o/ /saɴ/","哂 國 放","/ʂən˨˩˦/ /kuo˧˥/ /faŋ˥˩/","China Shen","an coo fang","Dental hygiene fishing","Oak neck on woman","Pioneer acid.","Few comments country"
"ZH","沒六兒","沒六兒:沒六兒","/mei˧˥.liəu˥˩.ər/","May Li ooh an","/meɪ/ /li/ /u/ /ən/","Mai lieh Uhren","/maːiː/ /liː/ /uː.ʀən/","mer lit où ange","/me/ /li/ /u/ /aʒ/","目 胃 水 兎 塩","/me/ /i/ /mi/ /u/ /eɴ/","沒 六 兒","/mei˧˥/ /liəu˥˩/ /ər˧˥/","No six-Ni, a State in the Zhou Dynasty","May Li ooh an","May lent watches","sea bed where Angel","First stomach water rabbit salt","No six-Ni, a State in the Zhou Dynasty"
"ZH","不顧一切","不顧一切:不顧一切","/pu˥˩.ku˥˩.i˥˥.tɕiɛ˥˩/","poo coo e tree Ain","/pu/ /ku/ /i/ /tɹi/ /ɛ/","Putz Kuh in Tier","/puːt͡s/ /kuː/ /iːn/ /tiːɐ/","pou cou on teint hein","/pu/ /ku/ /o/ /tɛ/ /ɛ/","ポーク 胃 手 胃","/poː.ku/ /i/ /te/ /i/","不 褲 一 褯","/pu˥˩/ /ku˥˩/ /i˥˥/ /tɕiɛ˥˩/","Don't care","poo coo e tree Ain","Plaster cow in animal","Pou neck on dyed eh","Pork stomach get stomach","No Trousers a swaddling clothes"
"ZH","歐洲山楊","歐洲山楊:歐洲山楊","/ou˥˥.tʂou˥˥.ʂan˥˥.iɑŋ˧˥/","O toe seen e An","/oʊ/ /toʊ/ /sin/ /i/ /ɑn/","Ohr Tor Zahn in","/oːɐ/ /toːɐ/ /t͡saːn/ /iːn/","on où tronc où canne if","/o/ /u/ /tʁo/ /u/ /kan/ /if/","王 手 兎 酸 胃 ん","/o.u/ /te/ /u/ /saɴ/ /i/ /ɴ/","謳 洲 山 楊","/ou˥˥/ /tʂou˥˥/ /ʂan˥˥/ /iɑŋ˧˥/","Europe mountains 楊","O toe seen e An","Ear gate tooth in","We where trunk where cane if","King rabbit acid stomach I","Sub 謳 楊"
"ZH","風和日暖","風和日暖:風和日暖","/fəŋ˥˥.xɤ˧˥.ʐ˥˩.nuan˨˩˦/","fang shoe sh Nun","/fæŋ/ /ʃu/ /ʃ/ /nun/","Fang Schuh f n an","/faŋ/ /ʃuː/ /f/ /n/ /aːn/","femme son j' nous nid","/fam/ /so/ /ʒ/ /nu/ /ni/","参加 胃 ぬ 案","/saŋ.ka/ /i/ /nu/ /aɴ/","蜂 和 日 暖","/fəŋ˥˥/ /xɤ˧˥/ /ʐ˥˩/ /nuan˨˩˦/","Wind and Sun","fang shoe sh Nun","Shoe start f n","woman sound I we nest","Join stomach gone draft","Bee and the Sun"
"ZH","赤貧如洗","赤貧如洗:赤貧如洗","/tʂ˥˩.pin˧˥.ʐu˧˥.ɕi˨˩˦/","T pin zoo c","/ti/ /pɪn/ /zu/ /si/","Tisch Gin Schuh Vieh","/tiːʃ/ /ɡiːn/ /ʃuː/ /fiː/","teint peine joue si","/tɛ/ /pɛn/ /ʒu/ /si/","手 パンツ 乳","/te/ /pan.t͡su/ /t͡ɕi/","赤 濱 如 洗","/tʂ˥˩/ /pin˥˥/ /ʐu˧˥/ /ɕi˨˩˦/","Extreme poverty, such as washing","T pin zoo c","Table Gin shoe cattle","complexion penalty play so","Hand panties tits","Chi-bin washing"
"ZH","阜新蒙古族自治縣","阜新蒙古族自治縣:阜新蒙古族自治縣","/fu˥˩.ɕin˥˥.məŋ˨˩˦.ku˨˩˦.tsu˧˥.ts˥˩.tʂ˥˩.ɕiɛn˥˩/","fou seen mong coo chew toss T c n","/fu/ /sin/ /mʌŋ/ /ku/ /tʃu/ /tɔs/ /ti/ /si/ /ɛn/","Vieh schien Mann Kuh Tuch Tisch Tisch Vieh n","/fiː/ /ʃiːn/ /man/ /kuː/ /tuːx/ /tiːʃ/ /tiːʃ/ /fiː/ /n/","fou mine me cou t' sous t' c' teint chien aine","/fu/ /min/ /mə/ /ku/ /t/ /su/ /t/ /s/ /tɛ/ /ʃi/ /ɛn/","酢 信 問 区 手 兎 手 手 乳 ニ","/su/ /ʃiɴ/ /moɴ/ /ku/ /te/ /u/ /te/ /te/ /t͡ɕi/ /ni/","阜 芯 蒙 古 族 自 治 縣","/fu˥˩/ /ɕin˥˥/ /məŋ˧˥/ /ku˨˩˦/ /tsu˧˥/ /ts˥˩/ /tʂ˥˩/ /ɕiɛn˥˩/","Fuxin Mongol autonomous county","fou seen mong coo chew toss T c n","Cattle seemed man cloth table cow cattle n","crazy mine me neck you as you it dyed dog elder","Vinegar Shin q. Ward hand rabbit hand hands breasts (d)","Mons core Mongolian autonomous county"
"ZH","鐵力市","鐵力市:鐵力市","/tiɛ˨˩˦.li˥˩.ʂ˥˩/","T Ain Li sh","/ti/ /ɛ/ /li/ /ʃ/","Tier lieh f","/tiːɐ/ /liː/ /f/","tien hein lit c'","/ti/ /ɛ/ /li/ /s/","手 水 胃","/te/ /mi/ /i/","蜨 力 市","/tiɛ˧˥/ /li˥˩/ /ʂ˥˩/","Iron city","T Ain Li sh","Animal borrowed f","Tien eh reads it","Water basin stomach","Die city"
